Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,3800.000000,3800.000000,3730.000000,3760.000000,3514.593994,71681200
2022-11-09,3690.000000,3720.000000,3630.000000,3640.000000,3402.426025,117969800
2022-11-10,3500.000000,3560.000000,3450.000000,3480.000000,3252.868896,153812400
2022-11-11,3500.000000,3540.000000,3440.000000,3490.000000,3262.216309,96575300
2022-11-14,3490.000000,3560.000000,3490.000000,3500.000000,3271.563477,60258000
2022-11-15,3550.000000,3570.000000,3480.000000,3510.000000,3280.910889,55915600
2022-11-16,3610.000000,3640.000000,3520.000000,3570.000000,3336.994873,86525300
2022-11-17,3530.000000,3610.000000,3500.000000,3590.000000,3355.689453,73229600
2022-11-18,3590.000000,3620.000000,3560.000000,3590.000000,3355.689453,40162000
2022-11-21,3610.000000,3710.000000,3610.000000,3690.000000,3449.162598,65550500
2022-11-22,3720.000000,3750.000000,3650.000000,3700.000000,3458.510010,59965000
2022-11-23,3720.000000,3790.000000,3720.000000,3750.000000,3505.246582,45573200
2022-11-24,3760.000000,3780.000000,3740.000000,3750.000000,3505.246582,24418800
2022-11-25,3750.000000,3750.000000,3690.000000,3730.000000,3486.552002,33140500
2022-11-28,3740.000000,3780.000000,3720.000000,3740.000000,3495.899414,40277700
2022-11-29,3790.000000,3880.000000,3780.000000,3880.000000,3626.761963,94151500
2022-11-30,3900.000000,3930.000000,3850.000000,3870.000000,3617.414551,152171400
2022-12-01,3930.000000,3930.000000,3890.000000,3900.000000,3645.456543,56516100
2022-12-02,3890.000000,3890.000000,3820.000000,3850.000000,3598.719971,36882200
2022-12-05,3880.000000,3890.000000,3760.000000,3780.000000,3533.288574,51037700
2022-12-06,3800.000000,3830.000000,3750.000000,3810.000000,3561.330566,56845900
2022-12-07,3820.000000,3870.000000,3780.000000,3830.000000,3580.025146,59277300
2022-12-08,3830.000000,3840.000000,3710.000000,3740.000000,3495.899414,63665900
2022-12-09,3730.000000,3740.000000,3630.000000,3680.000000,3439.815430,67555400
2022-12-12,3680.000000,3820.000000,3670.000000,3800.000000,3551.983154,76652000
2022-12-13,3790.000000,3790.000000,3740.000000,3740.000000,3495.899414,51354800
2022-12-14,3770.000000,3940.000000,3760.000000,3880.000000,3626.761963,131274900
2022-12-15,3890.000000,3970.000000,3850.000000,3900.000000,3645.456543,69993700
2022-12-16,3870.000000,3920.000000,3850.000000,3890.000000,3636.109131,63989300
2022-12-19,3870.000000,3970.000000,3870.000000,3970.000000,3710.887695,58801000
2022-12-20,3970.000000,3990.000000,3910.000000,3920.000000,3664.151123,47259900
2022-12-21,3890.000000,3930.000000,3880.000000,3920.000000,3664.151123,36433600
2022-12-22,3910.000000,3940.000000,3900.000000,3930.000000,3673.498535,32321000
2022-12-23,3860.000000,3860.000000,3800.000000,3810.000000,3561.330566,118489300
2022-12-26,3820.000000,3850.000000,3780.000000,3800.000000,3551.983154,45950200
2022-12-27,3800.000000,3810.000000,3730.000000,3750.000000,3505.246582,60813800
2022-12-28,3760.000000,3770.000000,3700.000000,3750.000000,3505.246582,52254700
2022-12-29,3740.000000,3820.000000,3710.000000,3800.000000,3551.983154,64775200
2022-12-30,3810.000000,3870.000000,3770.000000,3850.000000,3598.719971,98381200
2023-01-02,3610.000000,3650.000000,3590.000000,3590.000000,3590.000000,69696600
2023-01-03,3590.000000,3590.000000,3500.000000,3520.000000,3520.000000,95601300
2023-01-04,3540.000000,3560.000000,3300.000000,3300.000000,3300.000000,163804600
2023-01-05,3250.000000,3270.000000,3080.000000,3100.000000,3100.000000,225480200
2023-01-06,3090.000000,3190.000000,3090.000000,3140.000000,3140.000000,133608100
2023-01-09,3150.000000,3170.000000,2980.000000,3030.000000,3030.000000,165697500
2023-01-10,3040.000000,3140.000000,2980.000000,3140.000000,3140.000000,149820700
2023-01-11,3140.000000,3210.000000,3080.000000,3180.000000,3180.000000,101097700
2023-01-12,3120.000000,3130.000000,3050.000000,3090.000000,3090.000000,78240400
2023-01-13,3120.000000,3150.000000,3110.000000,3140.000000,3140.000000,49588400
2023-01-16,3120.000000,3130.000000,3090.000000,3100.000000,3100.000000,25866600
2023-01-17,3060.000000,3150.000000,3050.000000,3140.000000,3140.000000,51667000
2023-01-18,3160.000000,3230.000000,3150.000000,3170.000000,3170.000000,61754000
2023-01-19,3140.000000,3230.000000,3140.000000,3230.000000,3230.000000,47144100
2023-01-20,3250.000000,3260.000000,3210.000000,3240.000000,3240.000000,50695900
2023-01-24,3240.000000,3250.000000,3170.000000,3200.000000,3200.000000,34335900
2023-01-25,3190.000000,3190.000000,3120.000000,3130.000000,3130.000000,42325000
2023-01-26,3050.000000,3070.000000,2990.000000,3010.000000,3010.000000,83858800
2023-01-27,2980.000000,3080.000000,2980.000000,3060.000000,3060.000000,63547600
2023-01-30,3060.000000,3100.000000,2980.000000,3010.000000,3010.000000,47836700
2023-01-31,2970.000000,3020.000000,2940.000000,2960.000000,2960.000000,79164200
2023-02-01,2940.000000,3000.000000,2930.000000,2950.000000,2950.000000,59728700
2023-02-02,2940.000000,2970.000000,2870.000000,2870.000000,2870.000000,88969700
2023-02-03,2870.000000,2870.000000,2740.000000,2760.000000,2760.000000,101999600
2023-02-06,2760.000000,2840.000000,2720.000000,2780.000000,2780.000000,80778600
2023-02-07,2860.000000,2950.000000,2860.000000,2890.000000,2890.000000,113365400
2023-02-08,2900.000000,2940.000000,2870.000000,2920.000000,2920.000000,50651900
2023-02-09,2860.000000,2890.000000,2820.000000,2840.000000,2840.000000,58268500
2023-02-10,2750.000000,2780.000000,2710.000000,2740.000000,2740.000000,73205300
2023-02-13,2790.000000,2830.000000,2780.000000,2780.000000,2780.000000,58110000
2023-02-14,2790.000000,2850.000000,2770.000000,2830.000000,2830.000000,47207700
2023-02-15,2870.000000,3040.000000,2870.000000,2950.000000,2950.000000,150083400
2023-02-16,2970.000000,2990.000000,2890.000000,2920.000000,2920.000000,49484000
2023-02-17,2920.000000,2930.000000,2860.000000,2880.000000,2880.000000,45060800
2023-02-20,2870.000000,2910.000000,2820.000000,2900.000000,2900.000000,67438100
2023-02-21,2860.000000,2900.000000,2820.000000,2820.000000,2820.000000,57575900
2023-02-22,2880.000000,2910.000000,2840.000000,2850.000000,2850.000000,51853800
2023-02-23,2880.000000,2950.000000,2870.000000,2900.000000,2900.000000,80466800
2023-02-24,2930.000000,2960.000000,2880.000000,2890.000000,2890.000000,72020500
2023-02-27,2910.000000,2950.000000,2890.000000,2950.000000,2950.000000,42554800
2023-02-28,2940.000000,3040.000000,2910.000000,2990.000000,2990.000000,141401100
2023-03-01,3000.000000,3010.000000,2940.000000,2990.000000,2990.000000,74127000
2023-03-02,3000.000000,3030.000000,2970.000000,2990.000000,2990.000000,50943400
2023-03-03,3090.000000,3130.000000,3020.000000,3020.000000,3020.000000,113137800
2023-03-06,3020.000000,3020.000000,2900.000000,2910.000000,2910.000000,68471200
2023-03-07,2880.000000,2910.000000,2850.000000,2860.000000,2860.000000,81747200
2023-03-08,2840.000000,2920.000000,2810.000000,2920.000000,2920.000000,73894700
2023-03-09,2950.000000,2950.000000,2900.000000,2900.000000,2900.000000,42649600
2023-03-10,2900.000000,2900.000000,2850.000000,2860.000000,2860.000000,29013700
